sample_id	sample_file	batch
SC_69_s2-f11_1_7682	SC_69_s2-f11_1_7682	2
SC_70_s1-f12_1_7586	SC_70_s1-f12_1_7586	1
SC_70_s1-f12_1_7780	SC_70_s1-f12_1_7780	3
SC_70_s1-f12_1_7877	SC_70_s1-f12_1_7877	4
SC_70_s2-f12_1_7683	SC_70_s2-f12_1_7683	2
SC_71_s1-g1_1_7587	SC_71_s1-g1_1_7587	1
SC_71_s1-g1_1_7781	SC_71_s1-g1_1_7781	3
SC_71_s1-g1_1_7878	SC_71_s1-g1_1_7878	4
SC_71_s2-g1_1_7684	SC_71_s2-g1_1_7684	2
SC_72_s1-g2_1_7588	SC_72_s1-g2_1_7588	1
SC_72_s1-g2_1_7782	SC_72_s1-g2_1_7782	3
SC_72_s1-g2_1_7879	SC_72_s1-g2_1_7879	4
SC_72_s2-g2_1_7685	SC_72_s2-g2_1_7685	2
SC_73_s1-g3_1_7589	SC_73_s1-g3_1_7589	1
SC_73_s1-g3_1_7783	SC_73_s1-g3_1_7783	3
SC_73_s1-g3_1_7880	SC_73_s1-g3_1_7880	4
SC_73_s2-g3_1_7686	SC_73_s2-g3_1_7686	2
SC_74_s1-g4_1_7590	SC_74_s1-g4_1_7590	1
SC_74_s1-g4_1_7784	SC_74_s1-g4_1_7784	3
SC_74_s1-g4_1_7881	SC_74_s1-g4_1_7881	4
SC_74_s2-g4_1_7687	SC_74_s2-g4_1_7687	2
SC_75_s1-g5_1_7591	SC_75_s1-g5_1_7591	1
SC_75_s1-g5_1_7785	SC_75_s1-g5_1_7785	3
SC_75_s1-g5_1_7882	SC_75_s1-g5_1_7882	4
SC_75_s2-g5_1_7688	SC_75_s2-g5_1_7688	2
SC_76_s1-g6_1_7592	SC_76_s1-g6_1_7592	1
SC_76_s1-g6_1_7786	SC_76_s1-g6_1_7786	3
SC_76_s1-g6_1_7883	SC_76_s1-g6_1_7883	4
SC_76_s2-g6_1_7689	SC_76_s2-g6_1_7689	2
SC_77_s1-g7_1_7593	SC_77_s1-g7_1_7593	1
SC_77_s1-g7_1_7787	SC_77_s1-g7_1_7787	3
SC_77_s1-g7_1_7884	SC_77_s1-g7_1_7884	4
SC_77_s2-g7_1_7690	SC_77_s2-g7_1_7690	2
SC_78_s1-g8_1_7594	SC_78_s1-g8_1_7594	1
SC_78_s1-g8_1_7788	SC_78_s1-g8_1_7788	3
SC_78_s1-g8_1_7885	SC_78_s1-g8_1_7885	4
SC_78_s2-g8_1_7691	SC_78_s2-g8_1_7691	2
SC_79_s1-g9_1_7595	SC_79_s1-g9_1_7595	1
SC_79_s1-g9_1_7789	SC_79_s1-g9_1_7789	3
SC_79_s1-g9_1_7886	SC_79_s1-g9_1_7886	4
SC_79_s2-g9_1_7692	SC_79_s2-g9_1_7692	2
SC_80_s1-g10_1_7790	SC_80_s1-g10_1_7790	3
SC_80_s1-g10_1_7887	SC_80_s1-g10_1_7887	4
SC_80_s2-g10_1_7693	SC_80_s2-g10_1_7693	2
SC_81_s1-g11_1_7791	SC_81_s1-g11_1_7791	3
SC_81_s1-g11_1_7888	SC_81_s1-g11_1_7888	4
SC_81_s2-g11_1_7694	SC_81_s2-g11_1_7694	2
SC_82_s1-g12_1_7792	SC_82_s1-g12_1_7792	3
SC_82_s1-g12_1_7889	SC_82_s1-g12_1_7889	4
SC_82_s2-g12_1_7695	SC_82_s2-g12_1_7695	2
SC_83_s1-h1_1_7793	SC_83_s1-h1_1_7793	3
SC_83_s1-h1_1_7890	SC_83_s1-h1_1_7890	4
SC_83_s2-h1_1_7696	SC_83_s2-h1_1_7696	2
SC_84_s1-h2_1_7794	SC_84_s1-h2_1_7794	3
SC_84_s1-h2_1_7891	SC_84_s1-h2_1_7891	4
SC_84_s2-h2_1_7697	SC_84_s2-h2_1_7697	2
SC_85_s1-h3_1_7795	SC_85_s1-h3_1_7795	3
SC_85_s1-h3_1_7892	SC_85_s1-h3_1_7892	4
SC_85_s2-h3_1_7698	SC_85_s2-h3_1_7698	2
SC_86_s1-h4_1_7796	SC_86_s1-h4_1_7796	3
SC_86_s1-h4_1_7893	SC_86_s1-h4_1_7893	4
SC_86_s2-h4_1_7699	SC_86_s2-h4_1_7699	2
SC_87_s1-h5_1_7797	SC_87_s1-h5_1_7797	3
SC_87_s1-h5_1_7894	SC_87_s1-h5_1_7894	4
SC_87_s2-h5_1_7700	SC_87_s2-h5_1_7700	2
